index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
30,\wallet\src\de\schildbach\wallet\util\MonetarySpannable.java,MonetarySpannable,104,4,3,0,0,False,False,2,False,False,12,9,12,2,False,False,False,True,False,public,2,1,0,False,Service Provider
31,\wallet\src\de\schildbach\wallet\util\ThrottlingWalletChangeListener.java,ThrottlingWalletChangeListener,123,9,8,0,0,False,False,4,True,False,6,15,10,3,False,False,False,True,False,public,8,0,0,True,Service Provider
32,\wallet\src\de\schildbach\wallet\util\Toast.java,Toast,53,1,6,0,0,False,False,1,False,False,0,11,1,1,False,False,False,True,False,public,4,2,0,False,Service Provider
33,\wallet\src\de\schildbach\wallet\util\Qr.java,Qr,116,2,5,0,0,False,False,1,False,False,1,6,18,8,False,False,False,True,False,public,5,0,0,False,Service Provider
34,\wallet\src\de\schildbach\wallet\util\WholeStringBuilder.java,WholeStringBuilder,35,0,1,0,0,False,False,3,True,False,0,1,3,1,False,False,False,True,False,public,1,0,0,False,Service Provider
35,\wallet\src\de\schildbach\wallet\util\ViewPagerTabs.java,ViewPagerTabs,168,6,9,0,1,False,False,3,False,False,4,10,14,10,False,False,False,True,False,public,6,0,3,False,Interfacer
36,\wallet\src\de\schildbach\wallet\ui\AbstractBindServiceActivity.java,AbstractBindServiceActivity,62,2,3,0,1,False,False,4,False,False,0,0,8,3,False,False,False,True,False,public,0,0,3,True,Information Holder
37,\wallet\src\de\schildbach\wallet\ui\AbstractWalletActivity.java,AbstractWalletActivity,40,2,2,0,1,False,False,3,False,False,0,1,5,0,False,False,False,True,False,public,0,0,2,True,Service Provider
38,\wallet\src\de\schildbach\wallet\util\WalletUtils.java,WalletUtils,323,2,14,0,2,False,False,2,False,False,10,28,38,28,False,False,False,True,False,public,14,0,0,False,Service Provider
39,\wallet\src\de\schildbach\wallet\ui\AddressAndLabel.java,AddressAndLabel,72,3,2,0,0,False,False,3,False,False,0,2,8,5,False,False,False,True,False,public,2,0,0,False,Coordinator
40,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.TwoFragmentAdapter.java,TwoFragmentAdapter,99,5,6,1,1,False,False,3,True,False,6,11,6,5,True,False,True,True,False,private,6,0,0,False,Information Holder
41,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.java,AddressBookActivity,114,4,4,0,0,False,False,3,False,False,5,3,16,11,False,False,False,True,False,public,2,0,1,False,Interfacer
42,\wallet\src\de\schildbach\wallet\ui\ArchiveBackupDialogFragment.java,ArchiveBackupDialogFragment,101,4,5,0,0,False,False,4,False,False,0,6,16,4,False,False,False,True,False,public,3,2,0,False,Interfacer
43,\wallet\src\de\schildbach\wallet\ui\BlockListFragment.BlockListAdapter.java,BlockListAdapter,125,5,7,0,4,False,False,3,True,False,6,6,15,14,False,False,True,True,False,private,7,0,0,False,Structurer
44,\wallet\src\de\schildbach\wallet\ui\BlockListFragment.BlockLoader.java,BlockLoader,74,3,3,0,0,False,False,2,True,False,0,0,10,4,True,False,True,True,False,private,1,0,2,False,Service Provider
45,\wallet\src\de\schildbach\wallet\ui\BackupWalletDialogFragment.java,BackupWalletDialogFragment,254,12,8,0,0,False,False,4,False,False,4,5,40,30,False,False,False,True,False,public,4,4,0,False,Interfacer
46,\wallet\src\de\schildbach\wallet\ui\BlockListFragment.TransactionsLoader.java,TransactionsLoader,50,1,1,0,0,False,False,2,True,False,1,0,8,3,True,False,True,True,False,private,1,0,0,False,Service Provider
47,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.Listener.java,Listener,25,0,0,0,0,False,False,1,True,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
48,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.TextViewListener.java,TextViewListener,69,1,5,1,0,False,False,3,True,False,5,12,5,3,False,False,True,True,False,private,5,0,0,False,Service Provider
49,\wallet\src\de\schildbach\wallet\ui\BlockListFragment.java,BlockListFragment,227,17,7,0,0,False,False,3,False,False,3,7,33,24,False,False,False,True,False,public,7,0,0,False,Interfacer
50,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.java,CurrencyAmountView,300,15,21,13,2,False,False,3,False,False,11,18,24,23,False,False,False,True,False,public,15,3,3,False,Interfacer
51,\wallet\src\de\schildbach\wallet\ui\CurrencyCalculatorLink.java,CurrencyCalculatorLink,203,8,13,6,3,False,False,3,False,False,12,6,8,13,False,False,False,True,False,public,12,1,0,False,Information Holder
