index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
32,\SweetHome3D\src\com\eteks\sweethome3d\HomeFrameController.java,HomeFrameController,79,7,3,0,2,False,False,3,True,True,2,0,9,1,False,False,False,True,False,public,3,0,0,False,Controller
34,\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.FileContentManagerWithRecordedLastDirectories.java,FileContentManagerWithRecordedLastDirectories,122,3,2,1,1,False,False,7,False,False,7,3,5,3,True,False,True,True,False,private,0,0,2,False,Structurer
35,\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.StandaloneBasicService.java,StandaloneBasicService,126,0,4,0,1,False,False,3,False,False,4,1,5,6,True,False,True,True,False,private,4,0,0,False,Service Provider
36,\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.StandaloneServiceManager.java,StandaloneServiceManager,89,1,2,0,1,False,False,3,True,False,1,1,2,0,True,False,True,True,False,private,2,0,0,False,Service Provider
37,\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.StandaloneSingleInstanceService.java,StandaloneSingleInstanceService,190,3,4,0,0,False,False,4,False,False,5,4,16,17,True,False,True,True,False,private,3,1,0,False,Service Provider
39,\SweetHome3D\src\com\eteks\sweethome3d\viewcontroller\AbstractPhotoController.EnvironmentChangeListener.java,EnvironmentChangeListener,57,1,1,0,0,False,False,3,True,False,1,1,5,16,True,False,True,True,False,private,1,0,0,False,Service Provider
40,\SweetHome3D\src\com\eteks\sweethome3d\viewcontroller\AbstractPhotoController.Property.java,Property,26,6,0,0,0,False,False,1,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
41,\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3DBootstrap.java,SweetHome3DBootstrap,159,0,1,0,0,False,False,4,False,False,2,1,11,16,False,False,False,True,False,public,1,0,0,False,Controller
42,\SweetHome3D\src\com\eteks\sweethome3d\viewcontroller\BackgroundImageWizardController.BackgroundImageUndoableEdit.java,BackgroundImageUndoableEdit,79,6,3,0,1,False,False,4,False,False,2,0,7,2,True,False,True,True,False,private,3,0,0,False,Coordinator
43,\SweetHome3D\src\com\eteks\sweethome3d\viewcontroller\BackgroundImageWizardController.BackgroundImageWizardStepState.java,BackgroundImageWizardStepState,41,1,3,0,2,False,False,5,False,False,0,0,1,0,False,False,True,True,False,protected,3,0,0,True,Structurer
